Dive Number,Breaths per Minute,Turning Angle,Dive Depth,Dive Duration,Activity Level,Distance Travelled
2,2.322580645,-39.47862491,32,2.583333333,1.006709359,325.6379533
3,2.711864407,-43.17079909,55,2.95,1.040256151,521.1419296
4,2.950819672,-15.08730592,22,2.033333333,1.019769357,498.9193074
5,1.986754967,4.324619453,22,2.516666667,1.006716001,117.6595021
6,2.105263158,2.920976749,15,0.95,0.857622097,244.1024009
7,4.263959391,-149.4271633,43,3.283333333,0.928661583,170.1454033
8,2.142857143,8.750022229,12,1.4,0.946836637,129.1264852
9,1.935483871,-7.778791783,18,1.033333333,0.871572248,161.6730996
10,3.130434783,56.23265507,34,1.916666667,0.851537174,57.42236724
11,0.530973451,5.004004765,20,1.883333333,0.934719934,91.402255
12,10.24390244,81.12783263,8,0.683333333,1.08066509,168.5118939
13,4.897959184,51.25205959,12,1.633333333,1.006995005,99.96185781
14,1.678321678,99.29654269,24,2.383333333,1.016062603,446.0456846
15,1.627906977,-176.0418685,30,4.3,1,617.8379722
16,8.181818182,83.98736042,13,1.466666667,1.034025084,194.8759726
17,2.27027027,-82.60758427,13,3.083333333,0.921766222,24.83733771
18,3.829787234,80.67420098,7,1.566666667,0.890982888,86.30138177
19,4.680851064,92.44376211,17,2.35,0.978556624,152.3944884
20,1.363636364,-110.8832706,4,0.733333333,0.929611521,35.58862478
21,2.5,-76.28313528,8,1.6,1.395838869,230.4921825
22,3.442622951,129.3698856,17,2.033333333,0.985491842,540.7316591
23,2.608695652,-142.9486845,32,3.45,1.036974544,161.3015992
24,3.307086614,-6.766423227,10,2.116666667,1.06735266,162.8219072
25,1.403508772,-117.1723711,17,2.85,0.912300048,486.2319609
26,6.741573034,127.0169756,10,1.483333333,1.107376309,118.3849638
27,2.711864407,-103.8218211,19,2.95,0.925559335,184.8397578
28,0.662983425,-22.518379,27,3.016666667,0.961524154,135.7180393
29,1.690140845,40.96658979,12,1.183333333,1.059221714,124.4784881
30,2.173913043,86.90955236,20,2.3,0.995217091,82.52887923
33,3.125,-9.970780252,38,1.6,1.16629055,74.96029236
34,5.106382979,40.07750723,41,1.566666667,1.030314326,48.79920988
35,1.065088757,-7.783501843,23,2.816666667,0.834686681,52.28822683
36,4.337349398,41.38300569,21,1.383333333,1.121257304,72.09025982
37,2.307692308,-36.16119814,43,3.033333333,0.919040903,88.28748779
38,0.805369128,-17.39135171,38,2.483333333,0.881271408,94.46334745
39,6.101694915,-71.25268113,14,0.983333333,1.080052388,218.9743089
40,1.70212766,-15.76168536,52,4.7,1.068456579,251.8188041
41,0.875912409,-12.74664665,22,2.283333333,0.816834576,179.8952503
42,1.548387097,-178.8010153,30,2.583333333,0.880132984,252.2941949
43,1.747572816,78.62255942,24,1.716666667,0.915988314,102.4479077
44,1.371428571,65.6880462,33,2.916666667,1.001732823,182.6379852
45,1.832061069,-178.2287987,29,2.183333333,0.88180536,186.8252741
46,1.428571429,4.142792855,45,4.2,1.058734636,102.5436589
47,1.212121212,173.9676992,20,1.65,0.885079589,16.64671532
48,2.155688623,-86.02087389,55,2.783333333,1.131049768,247.4789638
49,0.916030534,-0.637603689,26,2.183333333,0.884646383,420.2474077
50,1.86770428,10.97854768,49,4.283333333,1.046030627,182.0336901
51,2.752293578,-19.69250454,21,1.816666667,0.934072134,113.5508102
52,1.546391753,-90.29483409,33,3.233333333,1.007384646,12.32644331
