Whale Number,Whale ID,Dive Number,Dive Type,Descent Duration,Ascent Duration,Descent Rate,Ascent Rate,Dive Duration,Surface Duration,Time Until Echolocation,Clicking Duration,Average Fluke Rate,Average ODBA,Dive Depth,Proportion Time Clicking,Relative Ascent Duration,Proportion Descent
1,zc03_260a,1,0,4.4367,2.7967,0.7455,0.9869,0.1334,1.7233,0.1174,0,0.2453,1.3485,184.2059,0,-0.027333333,0.554310345
1,zc03_260a,2,0,17.13,13.7333,0.7469,0.8983,0.8371,2.6767,1.5211,0.52,0.3043,1.8146,824.3126,0.621192211,-0.056611667,0.341058416
1,zc03_260a,3,0,6.2667,5.1233,0.7983,0.8932,0.2955,2.3533,1.5211,0,0.1465,0.7756,307.1567,0,-0.019056667,0.353451777
1,zc03_260a,4,0,9.7167,4.0633,0.5698,1.2564,0.3094,46.5767,1.5211,0,0.1637,1.0072,342.7371,0,-0.094223333,0.52341629
1,zc03_260a,5,0,14.17,5.5833,0.0233,0.4034,0.3507,7.1443,1.5211,0,0.1266,0.9031,150.3118,0,-0.143111667,0.673415075
2,zc03_263a,1,0,52.4767,15.12,0.2862,1.029,1.3379,2.2667,2.4536,0.7214,0.2052,0.6656,1037.374,0.539203229,-0.622611667,0.65371976
2,zc03_263a,2,0,6.2167,8.1433,1.0936,0.7656,0.3033,2.0733,2.1125,0,0.1556,0.4322,415.7963,0,0.03211,0.341614463
2,zc03_263a,3,0,3.6233,6.4867,1.1245,0.5498,0.2422,2.25,1.8357,0,0.1084,0.3871,239.8773,0,0.047723333,0.249332508
2,zc03_263a,4,3,4.7567,8.0667,1.288,0.7202,0.2949,1.9833,1.5033,0,0.1315,0.3893,387.3854,0,0.055166667,0.268831242
2,zc03_263a,5,0,4.9067,5.71,0.8403,0.6554,0.2851,1.7933,1.1852,0,0.0911,0.3324,249.5616,0,0.013388333,0.286840875
2,zc03_263a,6,0,5.3067,6.9167,0.7195,0.5038,0.2742,1.6733,0.8811,0,0.0459,0.3172,232.3987,0,0.026833333,0.322556528
2,zc03_263a,7,0,4.21,7.02,0.8453,0.4594,0.2732,1.6567,0.5801,0,0.0423,0.3445,215.0784,0,0.046833333,0.256832601
2,zc03_263a,8,0,4.8967,5.1833,0.6676,0.5673,0.2622,12.05,0.2903,0,0.0386,0.3289,196.1551,0,0.004776667,0.31125731
2,zc03_263a,9,0,21.6933,36.5767,0.8418,0.487,1.0836,2.36,0.9913,0.7431,0.2061,0.6184,1187.694,0.685769657,0.248056667,0.333660945
2,zc03_263a,10,0,4.4,6.5233,0.8268,0.4994,0.2273,38.42,0.7247,0,0.0726,0.3576,217.2548,0,0.035388333,0.322627951
2,zc03_263a,11,0,18.7233,17.5,0.9533,1.0617,0.8711,15.8833,0.3581,0.5961,0.2567,0.7499,1238.834,0.684307198,-0.020388333,0.358230972
2,zc03_263a,12,0,16.0533,20.81,1.1518,0.8525,0.7007,9.8133,0.2484,0.2827,0.2356,0.6684,1182.682,0.403453689,0.079278333,0.381839589
2,zc03_263a,13,0,13.6933,19.62,1.3245,0.9114,0.7823,55.2867,1.0064,0.3931,0.2378,0.6703,1192.655,0.50249265,0.098778333,0.291731646
2,zc03_263a,14,0,17.5833,19.53,0.8763,0.7721,0.7785,48.0167,0.8857,0.4929,0.2589,0.7798,1005.267,0.633140655,0.032445,0.376435453
2,zc03_263a,15,0,17.65,16.02,0.8743,0.9822,0.7939,2.4933,1.8028,0.4914,0.2743,0.771,1049.002,0.618969644,-0.027166667,0.370533652
2,zc03_263a,16,0,4.27,6.6267,0.8617,0.5082,0.2356,86.9933,1.5257,0,0.0761,0.3079,224.5855,0,0.039278333,0.302065648
